2025-11-14T18:23:09.616042+00:00	52	19.47
2025-11-14T18:23:09.628355+00:00	-106	22.17
2025-11-14T18:23:09.640651+00:00	141	26.27
2025-11-14T18:23:09.648861+00:00	-17	26.33
2025-11-14T18:23:09.661137+00:00	-102	28.23
2025-11-14T18:23:09.673359+00:00	42	28.54
2025-11-14T18:23:09.685642+00:00	81	29.67
2025-11-14T18:23:09.693879+00:00	115	31.82
2025-11-14T18:23:09.706151+00:00	100	33.35
2025-11-14T18:23:09.718426+00:00	24	33.44
2025-11-14T18:23:09.726680+00:00	-50	33.81
2025-11-14T18:23:09.743070+00:00	-244	41.69
2025-11-14T18:23:09.751304+00:00	-77	42.40
2025-11-14T18:23:09.763474+00:00	92	43.38
2025-11-14T18:23:09.771855+00:00	28	43.47
2025-11-14T18:23:09.784115+00:00	233	49.32
2025-11-14T18:23:09.796272+00:00	-16	49.35
2025-11-14T18:23:09.808673+00:00	-120	50.79
2025-11-14T18:23:09.820921+00:00	-6	50.79
2025-11-14T18:23:09.829406+00:00	89	51.56
2025-11-14T18:23:09.841369+00:00	-82	52.21
2025-11-14T18:23:09.853836+00:00	-106	53.28
2025-11-14T18:23:09.862115+00:00	39	53.42
2025-11-14T18:23:09.874770+00:00	-124	54.84
2025-11-14T18:23:09.886946+00:00	13	54.85
2025-11-14T18:23:09.899012+00:00	-74	55.35
2025-11-14T18:23:09.907643+00:00	81	55.94
2025-11-14T18:23:09.919690+00:00	-20	55.98
2025-11-14T18:23:09.931835+00:00	-148	57.90
2025-11-14T18:23:09.944113+00:00	30	57.98
2025-11-14T18:23:09.956220+00:00	-30	58.05
2025-11-14T18:23:09.964515+00:00	33	58.15
2025-11-14T18:23:09.976960+00:00	-24	58.20
2025-11-14T18:23:09.985260+00:00	83	58.79
2025-11-14T18:23:09.997455+00:00	24	58.84
2025-11-14T18:23:10.005500+00:00	20	58.87
2025-11-14T18:23:10.017581+00:00	69	59.27
2025-11-14T18:23:10.029801+00:00	-5	59.27
2025-11-14T18:23:10.038031+00:00	53	59.51
2025-11-14T18:23:10.046374+00:00	2	59.51
2025-11-14T18:23:10.058609+00:00	25	59.56
2025-11-14T18:23:10.066773+00:00	44	59.73
2025-11-14T18:23:10.079078+00:00	16	59.75
2025-11-14T18:23:10.087173+00:00	5	59.75
2025-11-14T18:23:10.099788+00:00	12	59.76
2025-11-14T18:23:10.108011+00:00	-9	59.77
2025-11-14T18:23:10.119994+00:00	4	59.77
2025-11-14T18:23:10.128497+00:00	-5	59.77
2025-11-14T18:23:10.140532+00:00	-5	59.77
2025-11-14T18:23:10.148929+00:00	5	59.77
2025-11-14T18:23:10.161016+00:00	-24	59.82
2025-11-14T18:23:10.169174+00:00	9	59.83
2025-11-14T18:23:10.181681+00:00	-14	59.84
2025-11-14T18:23:10.190005+00:00	-6	59.85
2025-11-14T18:23:10.202091+00:00	-5	59.85
2025-11-14T18:23:10.214371+00:00	-12	59.86
2025-11-14T18:23:10.222922+00:00	1	59.86
2025-11-14T18:23:10.234727+00:00	-15	59.88
2025-11-14T18:23:10.247040+00:00	-13	59.89
2025-11-14T18:23:10.255658+00:00	0	59.89
2025-11-14T18:23:10.263685+00:00	0	59.89
2025-11-14T18:23:10.275771+00:00	-12	59.90
2025-11-14T18:23:10.283895+00:00	0	59.90
2025-11-14T18:23:10.296123+00:00	-12	59.91
2025-11-14T18:23:10.308385+00:00	-4	59.91
2025-11-14T18:23:10.316593+00:00	0	59.91
2025-11-14T18:23:10.328850+00:00	-11	59.92
2025-11-14T18:23:10.337093+00:00	6	59.93
2025-11-14T18:23:10.349360+00:00	-13	59.94
2025-11-14T18:23:10.357752+00:00	-6	59.94
2025-11-14T18:23:10.365748+00:00	6	59.94
2025-11-14T18:23:10.378093+00:00	-10	59.95
2025-11-14T18:23:10.390367+00:00	4	59.95
2025-11-14T18:23:10.398633+00:00	0	59.95
2025-11-14T18:23:10.406977+00:00	-2	59.95
2025-11-14T18:23:10.419214+00:00	7	59.95
2025-11-14T18:23:10.427353+00:00	-10	59.96
2025-11-14T18:23:10.439498+00:00	6	59.96
2025-11-14T18:23:10.448021+00:00	0	59.96
2025-11-14T18:23:10.456242+00:00	1	59.96
2025-11-14T18:23:10.468438+00:00	14	59.96
2025-11-14T18:23:10.480559+00:00	-11	59.97
2025-11-14T18:23:10.488885+00:00	12	59.98
2025-11-14T18:23:10.497178+00:00	1	59.95
2025-11-14T18:23:10.509277+00:00	-4	59.95
